[2021-03-27 17:52:07]: Path: save/1616881927/ is created
[2021-03-27 17:52:14]: Start train process.
[2021-03-27 18:06:05]: | epoch   4 |  2400/ 3494 batches | rec loss 0.3433 | dis loss 0.1557 |
[2021-03-27 18:06:15]: | epoch   4 |  2600/ 3494 batches | rec loss 0.4352 | dis loss 0.1679 |
[2021-03-27 18:06:25]: | epoch   4 |  2800/ 3494 batches | rec loss 0.4584 | dis loss 0.2037 |
[2021-03-27 18:06:34]: | epoch   4 |  3000/ 3494 batches | rec loss 0.4684 | dis loss 0.2386 |
[2021-03-27 18:06:44]: | epoch   4 |  3200/ 3494 batches | rec loss 0.3910 | dis loss 0.2011 |
[2021-03-27 18:06:54]: | epoch   4 |  3400/ 3494 batches | rec loss 0.3780 | dis loss 0.2105 |
[2021-03-27 18:06:59]: | end of epoch   4 | time: 170.81s |
[2021-03-27 18:06:59]: | epoch   5 |     0/ 3494 batches | rec loss 0.4959 | dis loss 0.2651 |
[2021-03-27 18:07:09]: | epoch   5 |   200/ 3494 batches | rec loss 0.5109 | dis loss 0.3310 |
[2021-03-27 18:07:19]: | epoch   5 |   400/ 3494 batches | rec loss 0.3657 | dis loss 0.2259 |
[2021-03-27 18:07:28]: | epoch   5 |   600/ 3494 batches | rec loss 0.4090 | dis loss 0.1797 |
[2021-03-27 18:07:38]: | epoch   5 |   800/ 3494 batches | rec loss 0.4674 | dis loss 0.2426 |
[2021-03-27 18:07:48]: | epoch   5 |  1000/ 3494 batches | rec loss 0.3648 | dis loss 0.1766 |
[2021-03-27 18:07:58]: | epoch   5 |  1200/ 3494 batches | rec loss 0.3895 | dis loss 0.1762 |
[2021-03-27 18:08:08]: | epoch   5 |  1400/ 3494 batches | rec loss 0.3969 | dis loss 0.2045 |
[2021-03-27 18:08:17]: | epoch   5 |  1600/ 3494 batches | rec loss 0.4430 | dis loss 0.1552 |
[2021-03-27 18:08:27]: | epoch   5 |  1800/ 3494 batches | rec loss 0.4189 | dis loss 0.1735 |
[2021-03-27 18:08:37]: | epoch   5 |  2000/ 3494 batches | rec loss 0.4372 | dis loss 0.2403 |
[2021-03-27 18:08:47]: | epoch   5 |  2200/ 3494 batches | rec loss 0.3665 | dis loss 0.1769 |
[2021-03-27 18:08:57]: | epoch   5 |  2400/ 3494 batches | rec loss 0.3093 | dis loss 0.1477 |
[2021-03-27 18:09:07]: | epoch   5 |  2600/ 3494 batches | rec loss 0.3970 | dis loss 0.1478 |
[2021-03-27 18:09:16]: | epoch   5 |  2800/ 3494 batches | rec loss 0.4043 | dis loss 0.2059 |
[2021-03-27 18:09:26]: | epoch   5 |  3000/ 3494 batches | rec loss 0.4435 | dis loss 0.2094 |
[2021-03-27 18:09:36]: | epoch   5 |  3200/ 3494 batches | rec loss 0.3858 | dis loss 0.1851 |
[2021-03-27 18:09:45]: | epoch   5 |  3400/ 3494 batches | rec loss 0.3475 | dis loss 0.1989 |
[2021-03-27 18:09:50]: | end of epoch   5 | time: 171.13s |
[2021-03-27 18:09:50]: | epoch   6 |     0/ 3494 batches | rec loss 0.4631 | dis loss 0.2957 |
[2021-03-27 18:10:00]: | epoch   6 |   200/ 3494 batches | rec loss 0.4631 | dis loss 0.3171 |
[2021-03-27 18:10:10]: | epoch   6 |   400/ 3494 batches | rec loss 0.3426 | dis loss 0.2516 |
[2021-03-27 18:10:20]: | epoch   6 |   600/ 3494 batches | rec loss 0.3740 | dis loss 0.1460 |
[2021-03-27 18:10:30]: | epoch   6 |   800/ 3494 batches | rec loss 0.4254 | dis loss 0.2168 |
[2021-03-27 18:10:39]: | epoch   6 |  1000/ 3494 batches | rec loss 0.3531 | dis loss 0.1860 |
[2021-03-27 18:10:49]: | epoch   6 |  1200/ 3494 batches | rec loss 0.3559 | dis loss 0.2189 |
[2021-03-27 18:10:59]: | epoch   6 |  1400/ 3494 batches | rec loss 0.3543 | dis loss 0.2002 |
[2021-03-27 18:11:09]: | epoch   6 |  1600/ 3494 batches | rec loss 0.3937 | dis loss 0.1413 |
[2021-03-27 18:11:19]: | epoch   6 |  1800/ 3494 batches | rec loss 0.3987 | dis loss 0.1392 |
[2021-03-27 18:11:28]: | epoch   6 |  2000/ 3494 batches | rec loss 0.4192 | dis loss 0.2519 |
[2021-03-27 18:11:38]: | epoch   6 |  2200/ 3494 batches | rec loss 0.3444 | dis loss 0.2027 |
[2021-03-27 18:11:48]: | epoch   6 |  2400/ 3494 batches | rec loss 0.3374 | dis loss 0.1265 |
[2021-03-27 18:11:58]: | epoch   6 |  2600/ 3494 batches | rec loss 0.3983 | dis loss 0.1828 |
[2021-03-27 18:12:08]: | epoch   6 |  2800/ 3494 batches | rec loss 0.4162 | dis loss 0.1930 |
[2021-03-27 18:12:18]: | epoch   6 |  3000/ 3494 batches | rec loss 0.4316 | dis loss 0.2366 |
[2021-03-27 18:12:28]: | epoch   6 |  3200/ 3494 batches | rec loss 0.3302 | dis loss 0.1935 |
[2021-03-27 18:12:37]: | epoch   6 |  3400/ 3494 batches | rec loss 0.3282 | dis loss 0.1844 |
[2021-03-27 18:12:42]: | end of epoch   6 | time: 171.92s |
[2021-03-27 18:12:43]: | epoch   7 |     0/ 3494 batches | rec loss 0.4368 | dis loss 0.2470 |
[2021-03-27 18:12:53]: | epoch   7 |   200/ 3494 batches | rec loss 0.4455 | dis loss 0.3195 |
[2021-03-27 18:13:02]: | epoch   7 |   400/ 3494 batches | rec loss 0.3407 | dis loss 0.2246 |
[2021-03-27 18:13:12]: | epoch   7 |   600/ 3494 batches | rec loss 0.3707 | dis loss 0.1577 |
[2021-03-27 18:13:22]: | epoch   7 |   800/ 3494 batches | rec loss 0.4136 | dis loss 0.2586 |
[2021-03-27 18:13:32]: | epoch   7 |  1000/ 3494 batches | rec loss 0.3323 | dis loss 0.1523 |
[2021-03-27 18:13:41]: | epoch   7 |  1200/ 3494 batches | rec loss 0.3252 | dis loss 0.1818 |
[2021-03-27 18:13:51]: | epoch   7 |  1400/ 3494 batches | rec loss 0.3474 | dis loss 0.1691 |
[2021-03-27 18:14:01]: | epoch   7 |  1600/ 3494 batches | rec loss 0.3910 | dis loss 0.1191 |
[2021-03-27 18:14:11]: | epoch   7 |  1800/ 3494 batches | rec loss 0.3659 | dis loss 0.1293 |
[2021-03-27 18:14:21]: | epoch   7 |  2000/ 3494 batches | rec loss 0.3834 | dis loss 0.2051 |
[2021-03-27 18:14:31]: | epoch   7 |  2200/ 3494 batches | rec loss 0.3195 | dis loss 0.1979 |
[2021-03-27 18:14:41]: | epoch   7 |  2400/ 3494 batches | rec loss 0.2852 | dis loss 0.1336 |
[2021-03-27 18:14:51]: | epoch   7 |  2600/ 3494 batches | rec loss 0.3760 | dis loss 0.1584 |
[2021-03-27 18:15:00]: | epoch   7 |  2800/ 3494 batches | rec loss 0.4000 | dis loss 0.1760 |
[2021-03-27 18:15:10]: | epoch   7 |  3000/ 3494 batches | rec loss 0.3942 | dis loss 0.2458 |
[2021-03-27 18:15:20]: | epoch   7 |  3200/ 3494 batches | rec loss 0.3504 | dis loss 0.1937 |
[2021-03-27 18:15:30]: | epoch   7 |  3400/ 3494 batches | rec loss 0.3140 | dis loss 0.1896 |
[2021-03-27 18:15:34]: | end of epoch   7 | time: 171.75s |
[2021-03-27 18:15:35]: | epoch   8 |     0/ 3494 batches | rec loss 0.4202 | dis loss 0.2023 |
[2021-03-27 18:15:45]: | epoch   8 |   200/ 3494 batches | rec loss 0.4107 | dis loss 0.3460 |
[2021-03-27 18:15:54]: | epoch   8 |   400/ 3494 batches | rec loss 0.3275 | dis loss 0.2154 |
[2021-03-27 18:16:04]: | epoch   8 |   600/ 3494 batches | rec loss 0.3512 | dis loss 0.1469 |
[2021-03-27 18:16:14]: | epoch   8 |   800/ 3494 batches | rec loss 0.3957 | dis loss 0.2289 |
[2021-03-27 18:16:24]: | epoch   8 |  1000/ 3494 batches | rec loss 0.3187 | dis loss 0.1677 |
[2021-03-27 18:16:34]: | epoch   8 |  1200/ 3494 batches | rec loss 0.3134 | dis loss 0.1699 |
[2021-03-27 18:16:44]: | epoch   8 |  1400/ 3494 batches | rec loss 0.3201 | dis loss 0.2200 |
[2021-03-27 18:16:53]: | epoch   8 |  1600/ 3494 batches | rec loss 0.3798 | dis loss 0.1260 |
[2021-03-27 18:17:03]: | epoch   8 |  1800/ 3494 batches | rec loss 0.3601 | dis loss 0.1395 |
[2021-03-27 18:17:13]: | epoch   8 |  2000/ 3494 batches | rec loss 0.3822 | dis loss 0.2054 |
[2021-03-27 18:17:23]: | epoch   8 |  2200/ 3494 batches | rec loss 0.3139 | dis loss 0.1481 |
